amount,transaction_velocity,new_device,new_location
8167.828400321056,4,0,1
1725.076065624552,5,0,0
5188.11322711373,7,1,0
4879.4376705126415,9,0,0
8566.33351347134,2,0,0
1507.6750992142502,9,0,0
4344.177975887351,4,1,0
6415.06485252412,2,0,0
9650.61883755846,7,0,0
5440.093082528746,6,1,0
3711.016306885906,2,0,1
4587.946376010251,7,0,0
7773.697690115094,3,1,1
2484.832585116563,7,0,0
3386.571616946843,2,0,0
8466.058394427837,6,1,0
7917.874646821227,4,0,0
4625.437978404885,6,0,1
6334.683558159947,2,1,0
714.9817865302941,5,1,0
985.7444189237749,3,0,1
7381.590197790728,8,0,0
3867.1653516297347,8,0,0
4926.241767864586,2,0,1
8130.881081209475,9,0,0
3754.9570894418034,9,0,0
6099.54769645917,2,0,0
441.1675203862554,7,0,0
6065.684598164292,6,1,1
921.9539010934742,6,0,1
5318.232769365798,2,1,1
4596.76620482023,1,0,0
1417.1616335942006,7,1,1
644.9479193573761,4,0,0
6035.489573569218,1,0,0
9085.421107722947,4,0,0
6973.187252542727,4,0,1
2659.371653140437,7,0,0
7714.990763392598,9,0,0
8871.993378408522,4,1,0
3837.5538972124796,1,0,0
8350.953065624999,9,0,0
9485.048536551945,6,0,0
3873.486109542369,2,0,1
3739.360069634732,8,0,0
6338.447416063212,4,0,1
3281.6985482573673,3,0,0
7039.542015206436,6,0,0
1040.2074496709668,6,0,0
9730.375441976932,4,0,0
8774.620140276,9,1,0
5907.046475722929,7,1,0
5939.9886110049465,9,1,0
4632.171058839368,6,0,0
3601.316600685354,6,0,1
3238.797290887345,9,0,0
5861.898056921898,3,1,0
1348.812132221901,4,0,1
1873.8045702725447,2,0,0
6887.139940313083,3,0,0
1637.7149265434825,6,1,0
3512.3697124779037,9,0,1
1620.6006596675043,1,0,0
9696.15043136794,2,0,0
8227.779600989987,1,0,0
4247.977872377293,5,0,0
7083.6450521824945,8,1,0
3294.228586772207,7,1,0
5787.018608551778,1,0,0
1003.4195136658582,3,0,0
1206.4236968743196,6,1,0
945.8109306026438,3,0,0
557.068771832093,4,0,0
9699.444834167885,2,0,0
3199.9432395282447,1,1,0
9199.357607963477,3,0,0
1741.2102575077492,3,1,0
9362.186193866202,7,0,1
7262.297231913692,4,0,0
2714.7392847041024,9,0,0
6110.0942239919095,9,0,0
8303.896447024246,5,1,0
7367.077913890981,5,0,0
5431.817189042486,5,0,0
6224.646135276456,5,0,0
378.5006040717826,5,0,0
4739.982990097851,3,0,0
3498.603650380482,6,0,0
8608.69852673087,4,1,0
2294.1416269795927,3,1,0
9065.656388535825,2,1,0
2461.0376057163962,9,0,0
6262.3405579852215,2,0,0
7800.956703117662,2,0,0
5063.827902055815,3,0,0
5913.020502450536,6,0,1
4931.3247918656825,1,0,0
8531.564460118927,8,1,0
3630.315052175165,5,0,0
1697.6612800909238,5,0,0
7888.086140133062,2,0,1
8949.325230772212,2,1,0
2426.1043860955124,6,1,1
2072.148504888426,7,0,0
3355.7070904242905,7,0,0
2951.5444317751612,9,1,0
3978.900032698069,3,0,0
1215.1523522950022,8,0,0
8146.540141063469,4,0,0
7442.023462801043,2,0,0
3751.6557872851513,8,0,0
822.6743186125786,8,0,0
2157.25438212166,6,0,0
8289.087716427774,8,0,0
5420.92580446206,4,0,1
1409.439312212875,9,1,0
4661.324201143277,9,0,0
702.9193957429029,4,0,1
9695.009628420936,6,1,0
7485.114306932747,4,1,0
8023.947837732856,5,0,1
5431.533870750902,7,1,0
3396.9076125765196,5,0,0
9149.49525830228,6,0,1
8956.277052677042,9,0,0
2428.1321623998892,8,1,0
4529.870766165607,5,1,1
6728.459376209614,8,0,0
9076.58907452167,3,1,0
155.30121002214048,5,0,0
5523.549319357111,9,1,0
4959.958248899922,8,0,0
4366.904026061814,6,1,1
7027.8159990312215,9,0,0
1115.2110521825202,1,0,0
8774.956988560274,1,0,0
6297.692394971273,7,0,0
3566.167059726103,4,1,0
4642.347065350422,1,0,0
2776.0077049905653,2,0,0
8740.161874849528,9,1,1
8139.812246872417,9,0,0
1560.850056847818,5,0,0
980.7931727699777,8,1,0
4816.589617529627,4,1,0
896.1383122329855,9,0,1
2243.722426809332,2,0,1
3476.0624869433145,6,1,0
9502.871164669816,1,1,0
924.9049125330752,1,1,1
1616.4724336608115,2,0,0
527.7171328560448,7,1,0
9966.402002368315,1,1,0
6232.675853431812,8,1,1
4124.290732331213,6,0,0
6724.634118584727,8,0,0
1824.1611908462423,9,1,0
7974.980704137741,3,0,0
8558.407716381795,7,1,0
8986.556343385522,1,0,1
6962.782318876043,1,1,1
3770.8690351117157,6,0,1
4949.258843978789,6,1,0
3015.7743150695287,6,1,0
1297.5084218873858,1,1,0
3937.0462694209364,2,0,0
1120.862848238452,5,1,0
6185.101122174379,2,1,0
3417.2528469920826,7,1,0
1383.8342320184727,2,0,0
9327.957548706592,5,0,1
6337.6745346240905,7,0,1
4260.110021778004,4,1,1
297.53893637025635,7,0,0
2525.472598480458,2,1,0
6684.170514340755,8,1,1
4109.725401125941,6,1,0
79.45178400659513,5,0,0
3775.6748499548266,7,0,0
2720.7768274212203,9,0,0
9209.515281312813,7,0,0
8700.264657000662,1,1,1
2531.8450739967675,5,1,0
1568.6262180199408,1,0,0
5301.209277776505,3,1,0
5600.806909769097,6,0,0
7477.234671956227,1,0,0
3186.8547149689202,3,1,0
123.4229112265165,1,0,0
6907.044338007359,5,0,0
5572.061301209159,3,0,0
8299.120619034944,2,0,0
7697.23440258745,4,0,0
6628.59762069628,4,1,0
1960.4774481024645,5,1,0
7193.268592790612,8,0,0
1352.8026226203526,8,0,0
1283.6117366965043,4,0,0
9294.466131384583,1,0,1
4154.0468283532755,1,0,0
7263.652423889389,9,0,0
9415.233439677486,5,1,0
3642.6597277691467,8,0,0
8767.769490556866,2,0,1
5499.793534414118,1,0,0
7692.1842776533,5,0,1
5261.6449212038315,2,0,0
2131.2677156759787,9,0,0
8095.517943230351,6,0,0
190.9207363701967,3,0,0
3515.640975395266,8,0,1
4179.935921456302,9,1,0
8939.986904679066,2,0,0
9256.429443938696,3,0,0
7284.881322632477,1,0,0
4152.094996032967,5,1,0
6845.487934856447,5,0,0
1525.2320485301843,3,0,0
7604.676320297968,9,0,0
3616.1292304308677,8,0,1
3669.9548145039803,3,0,1
9624.84847647169,5,0,0
9144.975339790348,5,1,0
4527.657229489174,5,0,0
3293.3588082454603,1,0,0
1782.621042359431,3,0,0
8107.427774510511,4,0,1
5036.3312232150765,6,1,0
1967.8687955672606,7,0,0
383.10840560465203,9,0,0
1820.5183309949448,4,0,0
5031.34456012087,1,0,0
1403.543667913898,7,1,0
2938.5458253075226,7,1,0
2300.2214383740884,6,0,1
9866.529389226744,6,0,0
2403.2232877630545,2,0,1
2699.739877184316,2,0,1
8083.122591848525,3,0,0
2827.5253799873517,6,1,1
9297.679546902305,9,1,0
5365.602699777763,5,0,1
3779.06878941518,3,1,0
526.3003944743909,1,0,0
7071.504865037695,2,0,1
215.63909801506645,9,0,0
263.93707617351095,5,0,0
4899.633075172855,3,0,0
8085.889507683447,3,0,1
5758.987036980031,3,0,0
1229.1619660993404,7,0,0
5281.734079772135,2,0,1
3176.050831511214,8,0,0
8556.051234269962,2,0,0
1087.8353556631114,3,1,1
9498.501133786322,1,0,0
5916.841603091843,7,0,0
844.1721598197009,7,0,0
2525.305135295388,2,0,0
7838.693597284019,2,1,0
4093.254369269983,1,0,0
5972.460060679723,3,0,0
242.4866380009004,2,1,0
1179.4994941117825,1,0,0
5712.0752636424295,3,0,0
862.6211752877423,2,0,0
1751.9206257598646,5,1,0
1793.6611739227928,1,0,1
4931.254758988767,9,1,0
7353.359727600819,3,1,1
9860.15062759048,5,0,1
2595.212016184169,1,0,0
4562.010960329272,2,1,0
6280.8034501834645,3,1,0
8878.164785755414,4,0,0
6579.55279408043,4,0,0
193.72285870919268,8,1,0
3315.6712682779653,8,0,0
1889.3303856403754,8,0,0
